SystemSoftware;;;;;;;
Tipo;Producto;Versión;Punto de instalación;Otro;
Base de Datos;MySQL;5.6.33;/shared0/data   /shared1/data;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
;Nginx;1.4.6;/etc/nginx;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
;Nginx;1.4.6;/etc/nginx;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
Balanceador;HAProxy;1.7.11;;Almacenamiento compartido en Cluster3PAR volumen SSD;
;openldap-server;2.4.39;Configuración: /var/lib/ldap   BBDD: /var/lib/ladp;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
;openldap-server;2.4.39;Configuración: /var/lib/ldap   BBDD: /var/lib/ladp;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
;Nginx;1.4.6;/etc/nginx;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
Base de Datos;MySQL;5.6.33;/shared0/data   /shared1/data;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
Base de Datos;MySQL;5.6.33;/shared0/data   /shared1/data;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
Balanceador;HAProxy;1.7.11;;Almacenamiento compartido en Cluster3PAR volumen SSD;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster3PAR volumen AO FC/SSD;
Balanceador;HAProxy;1.7.11;;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
Base de Datos;MySQL;5.6.33;/shared0/data;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Nginx;1.4.6;/etc/nginx;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
Base de Datos;MySQL;5.6.33;/shared0/data;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;openldap-server;2.4.39;Configuración: /etc/ldap/slapd.d/  BBDD: /var/lib/ldap;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Nginx;1.4.6;/etc/nginx;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
Balanceador;HAProxy;1.7.11;;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
Balanceador;HAProxy;1.7.11;;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
;Tomcat;7.0.52;/var/lib/tomcat7/webapps;Almacenamiento compartido en Cluster en HP VirtaulStore LeftHand;
